Title,Company,Location,Summary,Link,Details,Date Posted
b'PACCAR Financial Contract Admin - 2021 Summer Internship',b'PACCAR',"b'Bellevue, WA 98004 (Downtown area)'","b'PACCAR Financial facilitates the sale of premium-quality PACCAR vehicles in 20 countries on three continents worldwide by offering a full spectrum of creative,\xe2\x80\xa6'",b'http://www.indeed.com/rc/clk?jk=74d3dc615c7ed1bb&fccid=c2c6a7536e4d9df3&vjs=3',"b""Company Information\nPACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture and customer support of high-quality light-, medium-, and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates. PACCAR also designs and manufactures advanced diesel engines, provides financial services and information technology, and distributes truck parts related to its principal business.\nWhether you want to design the transportation technology of tomorrow, support the staff functions of a dynamic, international leader, or build our excellent products and services \xe2\x80\x94 you can develop the career you desire with PACCAR. Get started!\nDivision\nPACCAR Financial (PFC)\nPACCAR Financial facilitates the sale of premium-quality PACCAR vehicles in 20 countries on three continents worldwide by offering a full spectrum of creative, flexible financial products and value-added services specifically tailored to the transportation industry.\nRequisition Summary\nPACCAR is searching for a talented individual to join our PACCAR Financial West Area Contract Administration team for 2021 in Bellevue, WA.\nLearn first-hand from the industry's top professionals\nWork with Area Office Management and PACCAR Dealers\nDevelop mentoring relationships with experienced professionals\nGain valuable hands-on experience\nThe internship is scheduled to begin in early to mid-May/June 2021\nJob Functions / Responsibilities\nPreparation of contract documentation\nSupport title follow-up procedures and processing\nPrepare and submit routine and ad hoc management reports in a timely and accurate manner.\nAnalysis that supports company decisions\nParticipate in additional projects designed to make company operations more efficient\nSkills / Competencies\nProficient in Microsoft Office\nExcellent verbal and written communication skills\nAbility to multi-task\nResourceful and a self-starter\nAnalytical thinking\nSense of urgency\nAttention to detail\nEducation\nBachelor's Degree In Progress\nAdditional Job Board Information\nIf you would like more information about what makes PACCAR an excellent place to work, please visit the PACCAR Career Site.\n\nPACCAR is an Equal Opportunity Employer/Protected Veteran/Disability.""",b'30+ days ago'
b'Research Intern - Autonomous Systems Research Grou',b'Microsoft',"b'Bellevue, WA'",b'The emphasis is on methods and technologies that have positive contribution of the society.\nInterns put inquiry and theory into practice.',b'http://www.indeed.com/rc/clk?jk=0dd372476a1cb5f2&fccid=734cb5a01ee60f80&vjs=3',"b'Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.\n\nAutonomous Systems research group is leading innovation at the intersection of Machine Learning, Robotics and Computer Vision. The key areas include Safe Autonomy, Agile Motion Planning and Simulation. The emphasis is on methods and technologies that have positive contribution of the society.\nResponsibilities\nInterns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world\xe2\x80\x99s best researchers, interns learn, collaborate, and network for life. Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, students are paired with mentors and expected to collaborate with other interns and researchers, present findings, and contribute to the vibrant life of the community. Research internships are available in all areas of research, and are offered year-round, though they typically begin in the summer.\nQualifications\nIn addition to the qualifications below, you\xe2\x80\x99ll need to submit a minimum of two reference letters for this position. After you submit your application, a request for letters may be sent to your list of references on your behalf. Note that reference letters cannot be requested until after you have submitted your application, and furthermore, that they might not be automatically requested for all candidates. You may wish to alert your letter writers in advance, so they will be ready to submit your letter.\n\nRequired Qualifications\nMust be currently enrolled in an academic program in Computer Science or a related STEM field.\nCandidates should have at least six months experience with machine learning. Exposure to robotics is a plus.\nPreferred Qualification\nExperience with Deep Machine Learning and exposure to robotics is a plus.\n\nMicrosoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.\n\nBenefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.'",b'30+ days ago'
b'Registered Wealth Management Client Associate',b'Bank of America',"b'Seattle, WA'",b'Minimum of 1+ years professional or relevant internship experience required.\nFully paid or partially paid by the FA.\n1st shift (United States of America).',b'http://www.indeed.com/rc/clk?jk=e87146c84aff3fe7&fccid=5bd99dfa21c8a490&vjs=3',"b""Business Overview\nMerrill Lynch Wealth Management is a leading provider of comprehensive wealth management and investment products and services for individuals, companies, and institutions. Merrill Lynch wealth management is one of the largest businesses of its kind in the world specializing in goals-based wealth management, including planning for retirement, education, legacy, and other life goals through investment advice and guidance.\nMerrill Lynch\xe2\x80\x99s financial advisors help clients pursue the life they envision through a one-on-one relationship with an advisor committed to their needs. We believe trust comes from transparency. Our trusted financial advisors are equipped with access to the investment insights of Merrill Lynch coupled with the banking convenience of Bank of America.\nDescription\nThe Client Associate (CA) role is a sales support position, typically providing dedicated operational and sales support to multiple Financial Advisors (FA's). Incumbents may also on a regular basis support office initiatives, in addition to the businesses of particular FA's. For established clients, the CA will often serve as the most frequent point of contact with Merrill Lynch. Fully registered CA (Series 7 & 66 (63/65)). Fully paid or partially paid by the FA.\nRequired Skills\nMinimum of 1+ years professional or relevant internship experience required\nIf Series 7 & 66 or 63/65 licenses are not currently held, must be obtained within a specified timeframe if being hired into a registered job code\nKnowledge of investment and banking products, policies & procedures\nStrong client service & technical skills (MS Word & Excel)\nStrong communication, time management and organizational skills\nDesired Skills\nUndergraduate Degree\nPlease be advised that under current company policy, Merrill Lynch does not sponsor a visa petition or other work authorization, nor will the company provide relocation assistance, for this position.\nNOTE: In addition to any of the Client Associate roles (Registered, Partially Registered or Non-Registered), this position may be hired into any of the Private Wealth Associate roles (Registered, Partially Registered or Non-Registered).\nShift:\n1st shift (United States of America)\nHours Per Week:\n37.5""",b'7 days ago'
b'Nature Summer Camp Internship - Coyote Mentoring',b'Wilderness Awareness School',"b'Duvall, WA 98019'",b'Successful completion of internship may lead to paid instructor positions in the future.\nMentoring Meeting with Program Coordinator multiple times during the\xe2\x80\xa6',b'http://www.indeed.com/company/Wilderness-Awareness-School/jobs/Nature-Summer-Camp-Internship-3cd1591d340e5bb0?fccid=007258828a6f6515&vjs=3',"b""Join us this summer as a Summer Camp Nature Instructor Intern!Train to be a \xe2\x80\x9cCoyote Mentor\xe2\x80\x9d capable of igniting kids passions for learningWork alongside some of the most skilled and experienced nature instructors in the fieldExperience the difference nature connection makes, while also making it possible for kidsOur Teaching PhilosophyCoyote Mentoring utilizes a number of teaching styles that mimic how children naturally learn. The end result is something of an \xe2\x80\x9cinvisible school\xe2\x80\x9d where kids experience having fun and playing games without even realizing how much they\xe2\x80\x99re learning.Nature ConnectionChildren\xe2\x80\x99s lives are becoming more and more screen-based and lived indoors. Wild spaces are shrinking and our impact on the planet is reaching a breaking point. It is more urgent than ever for people of all ages, especially children to experience and fall in love with the natural world.Become a Nature Instructor/MentorIn the quickly growing industry of nature-based education, there is an increasing need for skilled and experienced instructors. As one of the oldest and most respected nature schools in the world, many of our students and staff have gone on to become leaders in the industry.Internship Details:Staff Training (1 week) \xe2\x80\x93 learn curriculum, policy and culture of WAS camps (10%)Intern Training (1 week) \xe2\x80\x93 hands-on learning and practice with Coyote Mentoring and camp curriculum. (10%)Field-Based Hands-On Practice (7 or 8 weeks) \xe2\x80\x93 Camp programs include half-day and full-day experiences. Specific assignments are based on the intern\xe2\x80\x99s interest and camp needs.(4 weeks) Shadow and assist multiple Lead Instructors in facilitating camps for campers age 4-18. (40%)Shadowing and assisting will allow intern to experience multiple instructors using Coyote Mentoring principles to engage campers in nature connection. Covering topics that include tracking, bird language, peacemaking, edible and medicinal plants, knife use and safety, shelter building, outdoor cooking, navigation, wondering, sit spot, and community crafting to name a few.During shadowing interns will be able to experiment by leading nature-based games, curriculum, storytelling, songs and most other aspects of the camps. Daily reflection and feedback will be part of shadowing weeks.(3 weeks) Serve as Lead Instructor (once prerequisites have been completed), responsible for carrying out all aspects of summer camps, including mentoring of volunteers. These three weeks will focus on campers age 4-12. (30%)Mentoring Meeting with Program Coordinator multiple times during the summer outside of camp time to reflect and process the internship experience. (2%)Qualified Internship applicants will possessA passion to enter the outdoor/nature education industry with a strong understanding of the operation of a leading nature education organization based in the U.S., exemplified by knowledge of cutting-edge instructional methodology working with youth ages 4-18 in a variety of program offeringsA strong understanding of the balance between the benefit to the student and the organization in attaining success. A strong applicant is committed to fulfilling the internship and understands that return is dictated by investment.Reliable transportation, valid driver\xe2\x80\x99s licenseReliable cell phone.Ability to secure appropriate and local housing.Current Wilderness First Aid certification.Willingness to submit to background and reference check.Wilderness Awareness School is a leader in the field of nature education, and our internships callfor individuals who meet the following requirements:Minimum age 18Desire to connect with kids on a weekly basis.Experience with outdoor education; possibly including primitive skills, mentoring, or other child care modelsEthical (strong personal and work ethic)Highly-motivated, with an ability to work long hoursPositive attitude as a cooperative team memberAbility to communicate appropriately with all stakeholders: staff, volunteers, campers, and parents.Benefits to the InternThree Lead Instructor weeks paid at approximately $600 per week (once prerequisites have been completed).Personal mentoring and feedback from multiple instructors throughout the summer.Flexibility to explore one\xe2\x80\x99s own passions and areas of growth in a supportive setting.Gain valuable skills in experiential education, specifically in relation to Coyote Mentoring.Possible college credit approved by your schoolSuccessful completion of internship may lead to paid instructor positions in the futureLetter of Recommendation following the successful completion, upon requestLocationsBeautiful state and local parks in the greater Seattle, WA areaHours and DatesThe application deadline is March 1, 2021, or until positions are filled.8am to 2pm for Half-Day Camps8am to 4pm for Full-Day CampsApplications will be accepted starting February 1st and are open until all roles are filled. Interviews will begin on March 1st.Summer Season Dates: June 14 \xe2\x80\x93 August 27, 2021Required Staff Training Week: June 20 \xe2\x80\x93 June 25, 2021Internship Training Week: July 6 \xe2\x80\x93 July 9, 2021How to applyFollow the Online application at https://www.wildernessawareness.org/about/jobs/summer-intern/Job Types: Full-time, Part-time, InternshipPay: $15.00 per hourSchedule:8 hour shiftDay shiftMonday to FridayEducation:High school or equivalent (Preferred)Experience:Experience with Children: 1 year (Preferred)Childcare: 1 year (Preferred)Summer Camp: 1 year (Preferred)License/Certification:Wilderness First Aid (Preferred)CPR Certification (Preferred)Work Location:Multiple locationsTypical start time:8AMTypical end time:4PMInternship Compensation:PayCollege CreditCompany's website:https://www.wildernessawareness.org/about/jobs/Company's Facebook page:https://www.facebook.com/wildernessawareness/Work Remotely:NoCOVID-19 Precaution(s):Remote interview processPersonal protective equipment provided or requiredTemperature screeningsSocial distancing guidelines in placeVirtual meetingsSanitizing, disinfecting, or cleaning procedures in place""",b'1 day ago'
b'Home Stager',b'Habitat Seattle',"b'Seattle, WA 98134 (Industrial District area)'","b'Internships are available to candidates without staging experience.\nThe home staging associate role involves site visits, space planning, selecting furnishings,\xe2\x80\xa6'",b'http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ave-vW1XZInTnju8IJjyGgCHJ3_tmyWpjwRyuMt_ivJoe92oNy48lzB2OFjgxAJmTWsg1u_pmAU1og6RnTJ__FWmSmuZ9TGnAleTJrJ9aobFoTFhsXhXo8iVQQc3DSnlJvahRhxIPRHqQve4lPuqlJ0Mg8ZKmSHg33Rh-HjAs0Oj_QBMSBLr9Qf-47TNjNRsHaoEySZBw-KPyOWTOw56DYHKcZ3tGFl4dzLTFyL5gMVjCYdQoKAhRPHiwqxsO-8FMqAAjIeFIOwoEuwpCwn-RjB2UDMwlWAVfiRzQmmEjMNnoLw2dBleYeJj7sfBT_jfTwDU_6qyvY90jrtrSHdENl9aXoWP0WTD_mINHKJqP7GbNEllqy27Q9JvEEIw0NW52hIwS7WohkG0v9aRhzMio9yQ1HPJ_ukrWnBL4z0C7AWuVJ0aaLfKP8r8DBmEjYJ2NE0hMkOpPegA==&p=13&fvj=1&vjs=3',"b""We are a Seattle-based home staging and interior design company seeking stagers to join our growing team. The ideal candidates must have the ability to work fast and handle multiple tasks, be a quick learner who takes initiative. We are a nimble, solution-oriented, friendly team and we prioritize these qualities in our candidates.Home staging experience is REQUIRED for all paid associate positions.Internships are available to candidates without staging experience.The home staging associate role involves site visits, space planning, selecting furnishings, packing interior accessories, loading and unloading truck, organizing, styling, and miscellaneous tasks including installation scheduling and additional administrative duties as assigned by management. It is necessary that this candidate have the ability to lift at least 50lbs. Reliable transportation and good driving record is a must.This is a part time (15-35 hours a week) position which may lead into full time employment. Flexibility is important due to the nature of the business.Job Types: Full-time, Part-time, Internship, ContractPay: $14.00 - $26.00 per hourBenefits:Flexible scheduleProfessional development assistanceReferral programSchedule:8 hour shiftDay shiftMonday to FridayOn callSupplemental Pay:Bonus payCommission payShifts:Morning (Preferred)Mid-Day (Preferred)Application Question:Describe any design, furniture, staging, retail, or other relevant experience or education:Full Time Opportunity:YesWork Location:Multiple locationsCompany's website:www.habitatseattle.comWork Remotely:NoCOVID-19 Precaution(s):Social distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place""",b'30+ days ago'
b'Marketing Intern - Tableau',b'Salesforce',"b'Seattle, WA'",b'First-hand marketing experience as a Marketing Assistant or Junior Agency Experience or any previous internship experience.',b'http://www.indeed.com/rc/clk?jk=39d19355095e868e&fccid=4027cfd917e1ee29&vjs=3',"b'To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.\nOur Futureforce University Recruiting program is dedicated to attracting, retaining and cultivating talent. Our interns and new graduates work on real projects that affect how our business runs, giving them the opportunity to make a tangible impact on the future of our company. With offices all over the world, our recruits have the chance to collaborate and connect with fellow employees on a global scale. We offer job shadowing, mentorship programs, talent development courses, and much more.\nJob Category\nIntern\nJob Details\nJob Description\nWhat you\xe2\x80\x99ll be doing\xe2\x80\xa6\nThe Marketing intern supports the Marketing team in the management and execution of one of the following Marketing functions: Product Marketing, Brand and Creative, Marketing Operations, Corporate Communications, Customer Strategy and Programs, Events, Community or Field Marketing.\nYou will develop foundational marketing skills, gain industry & real life marketing knowledge and an understanding of Tableau Software & our positioning as a market leader in the Industry.\nPrimary Responsibilities:\nDevelop strategic value propositions\nGain industry knowledge and collaborate with colleagues to execute marketing plans\nFollow-up marketing campaigns\nAudit, analyze and provide recommendations on opportunities to improve website visitor experience.\nSupport assets creation (cheat sheet and social content)\nHelp plan strategic marketing events\nDevelop new ideas for leads process and customers retention and develop an understanding of our company and our positioning in the market and per industry\nWork towards monthly leads targets in line with team goals\nBenefit from regular management coaching related to key performance indicators\n\nWho you are\xe2\x80\xa6\nExcellent oral and written communication skills\nExceptional organizational and planning skills and the ability to prioritize\nEntrepreneurial spirit and the ability to use own initiative\nResult driven person & interested in being a part of a fast-paced environment\nPursuing a Bachelors degree and anticipated to graduate between Dec. 2021 - June 2022\nFirst-hand marketing experience as a Marketing Assistant or Junior Agency Experience or any previous internship experience\nYou are a Recruiter! Tableau hires company builders and, in this role, you will be asked to be on the constant lookout for the best talent to bring onboard to help us continue to build one of the best companies in the world\nAccommodations - If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form.\nPosting Statement\nAt Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.\nSalesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesfore.com or Salesforce.org.\nSalesforce welcomes all.'",b'10 days ago'
b'AWS Sales Internship - Undergraduate',b'Amazon.com Services LLC',"b'Seattle, WA'","b'AWS Sales internships are full-time (40 hours/week) for 12 consecutive weeks.\nUpon successful completion of the internship program, interns may receive a full\xe2\x80\xa6'",b'http://www.indeed.com/rc/clk?jk=b66bca4e9174d3cd&fccid=fe2d21eef233e94a&vjs=3',"b'\xc2\xb7 Currently enrolled in a bachelor\xe2\x80\x99s degree program with a graduation conferral date between December 2021 and August 2022.\n\nAWS SALES INTERN\nNOTE: By applying to this position, your application will be considered for all locations we hire in the United States including, but not limited to Seattle, WA; Washington DC Metro area; New York City; Chicago, IL; and Atlanta, GA.\n\nDo you want to intern with a specialized sales team focused on increasing adoption of Amazon Web Services (AWS) cloud solutions?\n\nAmazon Web Services (AWS) is the world\xe2\x80\x99s most comprehensive and broadly adopted cloud platform, offering over 165 fully featured services from data centers globally. Millions of customers\xe2\x80\x94including the fastest-growing startups, largest enterprises, and leading government agencies\xe2\x80\x94trust AWS to power their infrastructure, become more agile, and lower costs. AWS\xe2\x80\x99 America sales organization is a diverse team that focuses on driving greater AWS adoption and customer value.\n\nWe are hiring sales interns to help us increase customer adoption of the AWS cloud platform. As a sales intern, you will collaborate with sales teams to help build new business client leads, enter new client data, and assist with opportunity execution and follow up. As part of your internship, you will attend the AWS sales internship training and immerse yourself in cloud computing, develop business and sales acumen, and learn more about AWS culture. Following training, you will work on your projects, complete the Cloud Practitioner examination, and attend professional development events. Upon successful completion of the internship program, interns may receive a full-time offer to join AWS starting in 2022.\n\nCome build the future with us!\n\nAWS Sales internships are full-time (40 hours/week) for 12 consecutive weeks.\n\nAbility to think and act strategically and tactically.Ability to deal with ambiguity.Solid organizational skills, including prioritization and time management.Strong interpersonal, written and oral communication skills.Problem solving skills.Ability to summarize and communicate important data.\nAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.\n.'",b'30+ days ago'
b'Industrial Design Intern',b'Fluke',"b'Everett, WA 98203'",b'Fluke is looking for a student pursuing a bachelor\xe2\x80\x99s degree in Industrial Design to join our current team for a 12-week internship.',b'http://www.indeed.com/rc/clk?jk=a5568e152be726e2&fccid=729eb000fb24b6d7&vjs=3',"b'Fluke is looking for a student pursuing a bachelor\xe2\x80\x99s degree in Industrial Design to join our current team for a 12-week internship. Partnering with a diverse group of end-users, engineers, and other stakeholders, you will help develop the function and form of product enclosures for complex and highly technical products and workflows. You will participate in all aspects of our product development process.\n\nPrimary Activities:\n\nConceive and develop new, innovative Fluke tools that will transform the way our customers work\nSupport Voice of Customer research and document user needs, opportunities, and workflows\nSupport a project\xe2\x80\x99s design development process through sketching, model building, applying materials, CAD development, and recommending fabrication and assembly processes\nParticipate in design reviews\nPresent proposed product concepts for review and buy-in from engineering, marketing, and other stakeholders as required\n\nFluke promises all interns a meaningful work environment that is committed to the development of you as an industrial designer. This means:\n\n\nYou will be given a direct supervisor who will provide mentoring.\nYou will be given a project that is tailored to the existing needs of Fluke and your interests*\nYou will expand your professional network via your daily work and several other organized events, including a report-out at the end of your internship open to all employees.\nWith current Covid-19 restrictions, this is planned to be a remote position.\nGiven that each project is designed with the selected intern\'s interests in mind, specific projects are detailed out after hire\n\nPlease note that you are currently applying for a \xe2\x80\x9cpool\xe2\x80\x9d position. This requisition is used as a funnel for all industrial design intern positions we intend to hire for. As such, this position is relatively vague and inclusive of all types of industrial design intern duties one may have.\n\nCandidate Qualifications\n\n\nCurrent or recent student majoring in Industrial Design or related field.\nMust be rising junior or senior in college, Master\'s student or recent grad. All eligible undergraduate students must be graduating no later than Spring 2023\nStrong attention to detail and organization\nMust be a team-player who is willing to receive and professionally give feedback\n\nPortfolio Requirement:\nCandidates must submit a portfolio demonstrating their design process, skills, and other examples of work that exemplify the above requirements. Please upload a PDF no larger than 2.4 MB or provide a link to your work for review.\n\nFortive is a diversified industrial growth company comprised of global businesses that are recognized leaders in attractive markets. With more than $6 billion in annual revenues, Fortive\xe2\x80\x99s well-known brands hold leading positions in field instrumentation, transportation, sensing, product realization, automation and specialty, and franchise distribution.\n\nFortive is headquartered in Everett, Washington and employs a team of more than 24,000 research and development, manufacturing, sales, distribution, service and administrative employees in more than 40 countries around the world. Our team grows by tackling challenges that accelerate progress and further their careers. With a culture rooted in continuous improvement, the core of our company\xe2\x80\x99s operating model is the Fortive Business System. For more information please visit: www.fortive.com.\n\nFluke is leading the world in creating software, test tools and technology that will support customers today and in the future. We are a customer-obsessed market leader with a strong reputation for reliability, quality and safety.\n\nA wholly owned subsidiary of Fortive Corporation (www.fortive.com), Fluke is a global corporation headquartered in the greater Seattle area. Driven by the successful Fortive Business System, Fluke offers the passion of a startup with the resources of a Fortune 500 company. We are focused on the growth of our individual employees, teams and the Fluke brand.\n\n""The company in which you have expressed employment interest is a subsidiary or affiliate of Fortive Corporation. The subsidiary or affiliate is referred to as a Fortive Company. Fortive Corporation and all Fortive Companies are equal opportunity employers that evaluate qualified applicants without regard to race, color, national origin, religion, ancestry, sex (including pregnancy, childbirth and related medical conditions), age, marital status, disability, veteran status, citizenship status, sexual orientation, gender identity or expression, and other characteristics protected by law. The ""EEO is the Law"" poster is available at: http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf. Individuals who need a reasonable accommodation because of a disability for any part of the employment process should call 1-866-272-5573 or e-mail applyassistance@fortive.com to request accommodation.""'",b'14 days ago'
b'2021-01-14 Paid Internship - Entry Level Network PC Tech Tec...',b'Computer Performance Unlimited',"b'Burien, WA 98166 (Old Burien area)'","b'The position being posted will require the employee to be present at our office M-F and perform occasional work at various customers sites - we are ""Essential\xe2\x80\xa6'",b'http://www.indeed.com/company/Computer-Performance-Unlimited/jobs/Paid-Internship-cdcc6afd2518fa1f?fccid=1884c8d6cb7e5666&vjs=3',"b'COVID-19 STUFF: The position being posted will require the employee to be present at our office M-F and perform occasional work at various customers sites - we are ""Essential Workers"".Yes, we are hiring.Yes, we are conducting in-person interviews.Please address any concerns in your cover letter.ABOUT THE COMPANY: Founded in 2001, our firm provides cradle to grave I.T. support for small businesses with high reliability computing needs. We are seeking to find techs that possess Windows-based Domain and Networking skills.THIS INTERNSHIP/APPRENTICESHIP: This opportunity is aimed at an Entry-Level, tech-savvy individual that wants to get their foot in the door of a well-established small IT firm. UTS is a great place to apply your existing skills, learn and gain experience working with business networks, Active Directory, visualization, security, firewalling, VLAN\'s, VPN\'s, Group Policies, and end user support are what we work with all day. We are a full-spectrum IT firm for our clients handling virtually all issues with anything that has a power button. We are also small enough where jobs are not compartmentalized to a degree where the junior techs never get exposure to server-level technologies. We are all about internal cross-training our staff to help them grow in their aptitude and prefer to promote from within. This position can and will advance as fast as the employee demonstrates the necessary skills.WHAT WE DO: We build, manage and support small-ish (ranging from 5-250 node) windows domain-based networks for local small business clients; many of whom are in the medical/dental industry. Building PCs, taking client calls, doing remote tech support, running out to the client\'s location when necessary, troubleshooting hardware, networking and software issues are the routine.JOB DUTIES: - Answer client phone calls and email.- Occasional (we do about 80% of our work from within our Burien office) travel to customer location to perform on-site work.- Document work in our Helpdesk system.- Assemble PCs.- Provide remote and on-site business client support - user training, problem-solving and workarounds.- Installations & deployments of PCs, cabling and network gear.- Assist co-workers on larger projects.- Working with, engaging and coordinating 3rd party vendors (telecom companies, software vendors, etc.)- Helping out with other small business tasks like keeping the office tidy, picking up office supplies, etc.- Maintain a positive demeanor throughout.NON-TECHNICAL REQUIREMENTS: - Higher preference given to applicants that reside within a 10mi/15min distance of our Burien office.- Good at working with customer face-to-face and phone in a positive and friendly manner.- Professional appearance.- Some onsite travel - you must own a presentable vehicle.- You must be completely smoke-free. We work in highly sensitive medical environments. Smoke odor is completely unacceptable here.MINIMAL REQUIRED SKILLS: - Speak, read and write clear English.- Experience with PC Assembly.- Loading and upgrading Operating Systems.- Great attitude, high energy and desire to learn.Additional Desired Skills: - Troubleshooting hardware/driver problems.- Hunting down drivers and troubleshooting driver issues. (Actual hunting experience not required)- Understanding of basic TCP/IP to a sufficient degree necessary to put workstations on the server\'s domain.- Experience with MSOffice applications.- Experience with cleaning viruses/malware from PCs.- Working with 3rd party software support technicians to jointly troubleshoot a problem.HOURS: We are here from 7:30am to 6pm M-F; your shift will fit somewhere in there.WHY WORK HERE: We\'ve been around for almost 19 years and have retained many of our early clients. The owner is a tech (not a sales guy or accountant) who came up through the ranks, and knows first hand what technical work is all about. The company is well-organized with procedures, knowledge base and an awesome in-house helpdesk system. We foster mentorship from within - there is no silo-ing of knowledge or information. Nearly all of our long-term senior techs, entered the company as interns. Additionally, we work exclusively with other businesses - we do not service home users.About 3 years ago we purposely moved our office from Seattle, to Burien. Burien provides for a better commute, free parking, much lower cost of living, great highway access and a vibrant downtown with many lunch or after-work happy hour options.The biggest benefit is a good work environment. In a small and rapidly growing company you have the opportunity to do and learn a wide variety of tasks, learn many different systems, configurations and work on a very diverse set of problems. There is also opportunity to grow -- there are not 8 levels of management between you and your wonderful ideas on how to do things better, or how you could be better utilized within the firm.You will be provided with a desk, a chair and office computer. Maybe a phone. A window from which squirrel sightings might take place, may or may not be available. If you require a red Swingline stapler, please bring your own.COMPENSATION: $15+/h; with aim towards promotion to a Desktop Technician making $40k+yr; Lead Techs make $70k+/yrTO APPLY: - Send resume.- Please include a cover letter that demonstrated that you\'ve actually read the job description. Tell us why you want to work here and how you fit the criteria above.- Letters of reference are a plus.Job Type: Full-timePay: From $2,600.00 per monthBenefits:Paid time offSchedule:8 hour shiftMonday to FridaySupplemental Pay:Bonus payExperience:Troubleshooting: 1 year (Preferred)Windows: 1 year (Preferred)Work Location:One locationCompany\'s website:www.utspro.comCompany\'s Facebook page:https://www.facebook.com/SeattleUTSWork Remotely:No'",b'21 days ago'
b'Construction Manager',b'GOLDEN CLOUD PROPERTY INVESTMENT LLC',"b'Seattle, WA'","b'Have strong problem-solving skills.\nBe computer literate and able to communicate effectively whether in person, on the phone, or via email.'",b'http://www.indeed.com/company/GOLDEN-CLOUD-PROPERTY-INVESTMENT-LLC/jobs/Construction-Manager-b22b308210c651af?fccid=d9bebdf9376e2c2d&vjs=3',"b'Job Description:Have strong problem-solving skillsBe computer literate and able to communicate effectively whether in person, on the phone, or via emailWould be responsible for:All field operations, labor and equipment schedulingAll field aspects of the project\xe2\x80\x99s budget, schedule, and quality controlJob Types: Full-time, Contract, InternshipSalary: $78,000.00 - $120,000.00 per yearSchedule:8 hour shiftMonday to FridayOn callSupplemental Pay:Bonus payCommission paySigning bonusTipsEducation:Associate (Preferred)Experience:Construction Experience: 1 year (Preferred)Project Management: 1 year (Preferred)Contract Renewal:LikelyWork Location:Multiple locationsThis Job Is:A \xe2\x80\x9cFair Chance\xe2\x80\x9d job (you or the employer follow Fair Chance hiring practices when performing background checks)A job for which all ages, including older job seekers, are encouraged to applyBenefit Conditions:Waiting period may applyWork Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Remote interview processPersonal protective equipment provided or requiredPlastic shield at work stationsTemperature screeningsSocial distancing guidelines in placeVirtual meetingsSanitizing, disinfecting, or cleaning procedures in place'",b'9 days ago'
